I(0.01)A;B(0.1)mT;pVh 0;pVh 5;pVh 10;pVh 15;pVh 20;pVh(mV) 0;pVh 3.5;pVh 7.5;pVh 11.3;pVh 15.2;B;pVl(V)(0.001);pVl 0;pVl 5;pVl 10;pVl 20;Ip;pVl;pVh;T;nVh 0;nVh 3.5;nVh 7.5;nVh 11.3;nVh 15.2;Ip(1);nVh (mT) 0;nVh 5;nVh 10;nVh 15;nVh 20;nVl 0;nVl 3.5;nVl 7.5;nVl 11.3;nVl 15.2;nVl;nVh
0;0;-5.1;-8.4;-11.5;-15.1;-18;1.2;0.9;0.6;0.3;0.1;0;0.025;0.01;-0.07;0.033;0.055;0;0.51;1;30;1.1;4.6;8.4;12.5;16.5;-10;0.2;-0.2;-0.7;-1.1;-1.6;-0.07;0;0.02;-0.02;-0.1;0.53;-1.4
0.25;3.5;-3.2;-5.2;-7;-9.1;-10.8;1.6;-0.2;-1.6;-3.5;-4.9;0.25;-0.143;-0.138;-0.149;-0.156;-0.143;5;0.53;1;35;0.7;2.9;4.9;7.6;9.5;-5;0.5;-1.5;-3.6;-5.6;-7.5;-0.16;0.16;0.15;0.16;0.16;0.55;-1.5
0.5;7.5;-1.5;-1.3;-2;-1.9;-2.3;2;-1.4;-4.1;-7.5;-10;0.5;-0.324;-0.325;-0.304;-0.318;-0.299;10;0.55;0.9;40;0.2;0.7;0.4;2.5;2.2;0;0.8;-2.9;-6.6;-10.3;-13.5;0.31;0.35;0.32;0.34;0.34;0.56;-1.6
0.75;11.3;0.01;1.4;2.2;3.8;4.4;2.4;-2.6;-6.6;-11.4;-14.9;0.75;-0.502;-0.49;-0.48;-0.518;-0.496;15;0.57;0.9;45;-0.2;-1.5;-2.8;-4;-5.5;5;1.2;-4.3;-9.6;-14.9;-20.1;0.5;0.52;0.52;0.52;0.51;0.57;-1.7
1;15.2;1.8;4.4;6.9;8.6;12;2.7;-3.7;-8.8;-15.1;-19.7;1;-0.656;-0.63;-0.674;-0.654;-0.678;20;0.58;0.8;50;-0.6;-3.5;-6.7;-9.9;-11.5;10;1.5;-5.6;-12.5;-19.7;-26.1;0.71;0.68;0.69;0.7;0.71;0.58;-1.8
1.25;19;3.3;7.4;11;14.8;18.6;3;-4.7;-11;-18.5;-23.9;1.25;-0.822;-0.822;-0.832;-0.826;-0.838;25;0.6;0.7;55;-1.1;-5.4;-10.2;-15.4;-19.4;15;1.8;-6.9;-15.4;-24.2;-32.1;0.88;0.87;0.88;0.88;0.88;0.59;-1.9
1.5;23.3;4.9;10.4;-15.5;20.3;25.3;3.4;-5.6;-12.9;-21.4;-28;1.5;-0.976;-1.019;-0.998;-1.01;-1;30;0.62;0.7;60;-1.5;-7.4;-13.2;-20.4;-26.6;20;2.2;-8.2;-18.2;-28.5;-37.7;1.05;1.08;1.06;1.05;1.04;0.6;-2
;;;;;;;;;;;;;;;;;;;0.64;0.6;65;;;;;;;;;;;;;;;;;0.6;-2.1
;;;;;;;;;;;;;;;;;;;0.65;0.5;70;;;;;;;;;;;;;;;;;0.6;-2.2
;;;;;;;;;;;;;;;;;;;0.66;0.5;75;;;;;;;;;;;;;;;;;0.59;-2.3
;;;;;;;;;;;;;;;;;;;0.66;0.4;80;;;;;;;;;;;;;;;;;0.57;-2.3
;;;;;;;;;;;;;;;;;;;0.65;0.4;85;;;;;;;;;;;;;;;;;0.55;-2.4
;;;;;;;;;;;;;;;;;;;0.65;0.4;90;;;;;;;;;;;;;;;;;0.53;-2.5
;;;;;;;;;;;;;;;;;;;0.61;0.5;95;;;;;;;;;;;;;;;;;0.49;-2.5
;;;;;;;;;;;;;;;;;;;0.57;0.6;100;;;;;;;;;;;;;;;;;0.45;-2.6
